data_profile,N,L,K,off_pct,active_pct,best_fixed_T,best_fixed_u_g_mean,recommended_band_low,recommended_band_high,recommended_band_width,best_tested_T_median,best_tested_T_p05,best_tested_T_p95,best_tested_T_std,best_tested_T_cv,best_tested_T_over_N_mean,best_tested_T_over_K_mean,best_formula,best_formula_T,best_formula_fraction
gaussian,1000,10,250,75.0,25.0,55,4.893507727242103e+24,53,58,6,48.0,23.85,76.05,17.70169198099151,0.3608172030369243,0.04906,0.19624,T_0p075NL_over_Lp2,62,0.8999028246549345
gaussian,1000,10,500,50.0,50.0,79,6.704738230500107e+29,72,82,11,69.0,36.0,107.05,20.37526724122938,0.2894214096765536,0.0704,0.1408,T_0p075N,75,0.923854525652988
lognormal,1000,10,250,75.0,25.0,38,1083003649068726.8,38,38,1,41.0,24.8,65.05,14.536512718675068,0.3483468180847129,0.04173,0.16692,T_0p05NL_over_Lp2,42,0.712633813588912
lognormal,1000,10,500,50.0,50.0,41,4.086467501039519e+17,41,42,2,58.5,32.0,92.0,18.327158739825094,0.3121641754356174,0.05871,0.11742,T_0p075NL_over_Lp2,62,0.6956369632924089
nakagami,1000,10,250,75.0,25.0,50,2.7422416527270428e+25,43,55,13,51.0,29.85,83.1,16.897540314698727,0.3201504417335871,0.05278,0.21112,T_0p05N,50,0.928331846259996
nakagami,1000,10,500,50.0,50.0,79,6.937836305590131e+30,71,86,16,73.5,45.0,113.05,21.78105932810765,0.2918148355855794,0.07464,0.14928,T_0p075N,75,0.9434104723359616
rayleigh,1000,10,250,75.0,25.0,53,3.917752529759816e+24,50,58,9,46.0,23.95,74.05,16.631098410611198,0.3461206745184432,0.0480499999999999,0.1921999999999999,T_0p05N,50,0.9038747372833864
rayleigh,1000,10,500,50.0,50.0,78,5.419536919578326e+29,65,88,24,71.5,45.95,110.0,21.047286828194338,0.2881611011527154,0.07304,0.14608,T_0p075N,75,0.918877528802321
rician,1000,10,250,75.0,25.0,139,1.449861891150467e+18,137,143,7,138.5,37.95,246.0,63.643692507267325,0.4518864847150477,0.1408399999999999,0.5633599999999999,T_0p15NL_over_Lp2,125,0.7768857667955724
rician,1000,10,500,50.0,50.0,183,5.217921222163352e+23,171,192,22,171.0,81.85,314.6,69.06221686262177,0.3819601618418327,0.18081,0.36162,T_0p15NL_over_Lp2,125,0.8636026501911962
