data_profile,N,L,K,off_pct,active_pct,formula,formula_family,T,cases,u_g_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,winner_rate
gaussian,1000,10,250,75.0,25.0,T_0p025N,N,25,100,4.452536187972071e+24,0.8093212758431604,0.609115909347693,19.067872415683965,0.0
gaussian,1000,10,250,75.0,25.0,T_0p05K,K,12,100,3.488415255746147e+24,0.6145827699252343,0.3816882761616625,38.54172300747658,0.0
gaussian,1000,10,250,75.0,25.0,T_0p05N,N,50,100,4.8111718688724376e+24,0.8988720950683643,0.785858632048735,10.112790493163551,0.01
gaussian,1000,10,250,75.0,25.0,T_0p05NL_over_Lp2,N_L,42,100,4.851871820258085e+24,0.8978096608170838,0.7823923432787897,10.219033918291604,0.03
gaussian,1000,10,250,75.0,25.0,T_0p075N,N,75,100,4.608492733188172e+24,0.8701745981002236,0.7345565348460752,12.982540189977634,0.01
gaussian,1000,10,250,75.0,25.0,T_0p075NL_over_Lp2,N_L,62,100,4.804934309031695e+24,0.8999028246549345,0.7675824732491563,10.009717534506551,0.01
gaussian,1000,10,250,75.0,25.0,T_0p10K,K,25,100,4.452536187972071e+24,0.8093212758431604,0.609115909347693,19.067872415683965,0.0
gaussian,1000,10,250,75.0,25.0,T_0p10N,N,100,100,4.076045044112954e+24,0.7761525026661089,0.6296868259468013,22.38474973338912,0.0
gaussian,1000,10,250,75.0,25.0,T_0p10NL_over_Lp2,N_L,83,100,4.4803184522541856e+24,0.8437618225279435,0.7209541740061252,15.623817747205642,0.01
gaussian,1000,10,250,75.0,25.0,T_0p125NL_over_Lp2,N_L,104,100,4.010546743881999e+24,0.7640995934022645,0.6205076009633924,23.59004065977356,0.0
gaussian,1000,10,250,75.0,25.0,T_0p15K,K,38,100,4.7839424368171153e+24,0.8908553764957577,0.7418635971081107,10.914462350424238,0.03
gaussian,1000,10,250,75.0,25.0,T_0p15NL_over_Lp2,N_L,125,100,3.539978482812808e+24,0.6793096530878432,0.5379420075253245,32.06903469121566,0.0
gaussian,1000,10,250,75.0,25.0,T_0p20K,K,50,100,4.8111718688724376e+24,0.8988720950683643,0.785858632048735,10.112790493163551,0.01
gaussian,1000,10,250,75.0,25.0,legacy_T100,legacy,100,100,4.076045044112954e+24,0.7761525026661089,0.6296868259468013,22.38474973338912,0.0
gaussian,1000,10,250,75.0,25.0,legacy_T25,legacy,25,100,4.452536187972071e+24,0.8093212758431604,0.609115909347693,19.067872415683965,0.0
gaussian,1000,10,250,75.0,25.0,legacy_T50,legacy,50,100,4.8111718688724376e+24,0.8988720950683643,0.785858632048735,10.112790493163551,0.01
gaussian,1000,10,500,50.0,50.0,T_0p025N,N,25,100,5.182634691304868e+29,0.6914206163439236,0.5271791880878982,30.85793836560763,0.0
gaussian,1000,10,500,50.0,50.0,T_0p05K,K,25,100,5.182634691304868e+29,0.6914206163439236,0.5271791880878982,30.85793836560763,0.0
gaussian,1000,10,500,50.0,50.0,T_0p05N,N,50,100,6.357281055311735e+29,0.8752138906997696,0.7336948081647063,12.478610930023011,0.01
gaussian,1000,10,500,50.0,50.0,T_0p05NL_over_Lp2,N_L,42,100,6.1725530032635874e+29,0.842204841749022,0.6899683786718667,15.77951582509781,0.0
gaussian,1000,10,500,50.0,50.0,T_0p075N,N,75,100,6.654248598203164e+29,0.923854525652988,0.8429627188235785,7.614547434701189,0.01
gaussian,1000,10,500,50.0,50.0,T_0p075NL_over_Lp2,N_L,62,100,6.649543033647008e+29,0.9173747911266836,0.8140563449172411,8.262520887331645,0.0
gaussian,1000,10,500,50.0,50.0,T_0p10K,K,50,100,6.357281055311735e+29,0.8752138906997696,0.7336948081647063,12.478610930023011,0.01
gaussian,1000,10,500,50.0,50.0,T_0p10N,N,100,100,6.2890121535858384e+29,0.8778181304454895,0.7689310425441451,12.21818695545105,0.0
gaussian,1000,10,500,50.0,50.0,T_0p10NL_over_Lp2,N_L,83,100,6.63545508649981e+29,0.918282635110794,0.820541797138948,8.171736488920601,0.04
gaussian,1000,10,500,50.0,50.0,T_0p125NL_over_Lp2,N_L,104,100,6.2263689002195615e+29,0.8692676231067489,0.7582436822008152,13.07323768932513,0.02
gaussian,1000,10,500,50.0,50.0,T_0p15K,K,75,100,6.654248598203164e+29,0.923854525652988,0.8429627188235785,7.614547434701189,0.01
gaussian,1000,10,500,50.0,50.0,T_0p15NL_over_Lp2,N_L,125,100,5.706296023117546e+29,0.8001765401264929,0.6666416629323968,19.98234598735071,0.0
gaussian,1000,10,500,50.0,50.0,T_0p20K,K,100,100,6.2890121535858384e+29,0.8778181304454895,0.7689310425441451,12.21818695545105,0.0
gaussian,1000,10,500,50.0,50.0,legacy_T100,legacy,100,100,6.2890121535858384e+29,0.8778181304454895,0.7689310425441451,12.21818695545105,0.0
gaussian,1000,10,500,50.0,50.0,legacy_T25,legacy,25,100,5.182634691304868e+29,0.6914206163439236,0.5271791880878982,30.85793836560763,0.0
gaussian,1000,10,500,50.0,50.0,legacy_T50,legacy,50,100,6.357281055311735e+29,0.8752138906997696,0.7336948081647063,12.478610930023011,0.01
gaussian,1000,10,250,75.0,25.0,strong_weak,heuristic,375,100,5.6007133301336646e+23,0.10805151397098077,0.08102480890942886,89.19484860290191,0.0
gaussian,1000,10,500,50.0,50.0,strong_weak,heuristic,250,100,2.5207512111864475e+29,0.3532225266743723,0.2755043616464806,64.67774733256276,0.0
lognormal,1000,10,250,75.0,25.0,T_0p025N,N,25,100,789623378889278.9,0.5725485792867496,0.2443860019413513,42.745142071325056,0.03
lognormal,1000,10,250,75.0,25.0,T_0p05K,K,12,100,308675669723446.75,0.246870913699821,0.0445405061180856,75.31290863001792,0.0
lognormal,1000,10,250,75.0,25.0,T_0p05N,N,50,100,806711816216607.4,0.6580910607654974,0.3699534020565521,34.190893923450254,0.01
lognormal,1000,10,250,75.0,25.0,T_0p05NL_over_Lp2,N_L,42,100,1039245998286002.0,0.712633813588912,0.4437906064397451,28.73661864110882,0.04
lognormal,1000,10,250,75.0,25.0,T_0p075N,N,75,100,438361266115936.3,0.4704672104736858,0.237039300237783,52.95327895263143,0.0
lognormal,1000,10,250,75.0,25.0,T_0p075NL_over_Lp2,N_L,62,100,565551096028478.1,0.5798329594764252,0.3150029273143992,42.016704052357454,0.0
lognormal,1000,10,250,75.0,25.0,T_0p10K,K,25,100,789623378889278.9,0.5725485792867496,0.2443860019413513,42.745142071325056,0.03
lognormal,1000,10,250,75.0,25.0,T_0p10N,N,100,100,209934333686264.75,0.2968723910285346,0.1366268522080223,70.31276089714655,0.0
lognormal,1000,10,250,75.0,25.0,T_0p10NL_over_Lp2,N_L,83,100,330743699355657.25,0.4037745411145212,0.1907361941110074,59.62254588854788,0.0
lognormal,1000,10,250,75.0,25.0,T_0p125NL_over_Lp2,N_L,104,100,191625883237205.7,0.2667711744647976,0.1211394898596454,73.32288255352022,0.0
lognormal,1000,10,250,75.0,25.0,T_0p15K,K,38,100,1083003649068726.8,0.6997658072854585,0.3473070471803577,30.023419271454173,0.04
lognormal,1000,10,250,75.0,25.0,T_0p15NL_over_Lp2,N_L,125,100,107851273055379.3,0.1571804837072852,0.0583861496758651,84.28195162927148,0.0
lognormal,1000,10,250,75.0,25.0,T_0p20K,K,50,100,806711816216607.4,0.6580910607654974,0.3699534020565521,34.190893923450254,0.01
lognormal,1000,10,250,75.0,25.0,legacy_T100,legacy,100,100,209934333686264.75,0.2968723910285346,0.1366268522080223,70.31276089714655,0.0
