scope,target,metric,pearson_corr,abs_pearson_corr,cases,data_profile,L,active_pct
by_L,best_tested_T_over_K,tail_mass_p80,-0.25011519514539987,0.25011519514539987,5600,,10.0,
by_L,best_tested_T_over_K,tail_mass_p80,-0.24322289047812384,0.24322289047812384,5600,,6.0,
by_L,best_tested_T_over_K,tail_mass_p80,-0.23942326832224411,0.23942326832224411,5600,,8.0,
by_L,best_tested_T_over_K,tail_mass_p90,-0.23822695850206488,0.23822695850206488,5600,,10.0,
by_L,best_tested_T_over_K,tail_mass_p90,-0.23152394056042358,0.23152394056042358,5600,,6.0,
by_L,best_tested_T_over_K,tail_mass_p90,-0.2273498383461424,0.2273498383461424,5600,,8.0,
by_L,best_tested_T_over_K,row_power_cv,-0.22729200558869067,0.22729200558869067,5600,,10.0,
by_L,best_tested_T_over_K,tail_mass_p95,-0.22723409687735777,0.22723409687735777,5600,,10.0,
by_L,best_tested_T_over_K,row_power_p95_p50,-0.2228076998272577,0.2228076998272577,5600,,10.0,
by_L,best_tested_T_over_K,tail_mass_p80,-0.2206149843794209,0.2206149843794209,5600,,4.0,
by_L,best_tested_T_over_K,tail_mass_p95,-0.22045567930592017,0.22045567930592017,5600,,6.0,
by_L,best_tested_T_over_K,row_power_cv,-0.2194786763289862,0.2194786763289862,5600,,6.0,
by_L,best_tested_T_over_K,row_power_cv,-0.2172273537385681,0.2172273537385681,5600,,8.0,
by_L,best_tested_T_over_K,row_power_p95_p50,-0.21721047463373291,0.21721047463373291,5600,,6.0,
by_L,best_tested_T_over_K,tail_mass_p95,-0.21605487693654896,0.21605487693654896,5600,,8.0,
by_L,best_tested_T_over_K,row_power_p95_p50,-0.211818962208512,0.211818962208512,5600,,8.0,
by_L,best_tested_T_over_K,tail_mass_p99,-0.20914483492267463,0.20914483492267463,5600,,10.0,
by_L,best_tested_T_over_K,tail_mass_p90,-0.2080282751248278,0.2080282751248278,5600,,4.0,
by_L,best_tested_T_over_K,tail_mass_p99,-0.20301689911648554,0.20301689911648554,5600,,6.0,
by_L,best_tested_T_over_K,row_power_p99_p50,-0.20219712599429157,0.20219712599429157,5600,,10.0,
by_L,best_tested_T_over_K,tail_mass_p99,-0.19941077805847454,0.19941077805847454,5600,,8.0,
by_L,best_tested_T_over_K,row_power_p99_p50,-0.19898934886010602,0.19898934886010602,5600,,6.0,
by_L,best_tested_T_over_K,tail_mass_p95,-0.1964169127707531,0.1964169127707531,5600,,4.0,
by_L,best_tested_T_over_K,row_power_cv,-0.1950062140620192,0.1950062140620192,5600,,4.0,
by_L,best_tested_T_over_K,row_power_p95_p50,-0.1946372963571621,0.1946372963571621,5600,,4.0,
by_L,best_tested_T_over_K,row_power_p99_p50,-0.19158874136307635,0.19158874136307635,5600,,8.0,
by_L,best_tested_T_over_K,row_power_skew3,-0.18377330288418095,0.18377330288418095,5600,,10.0,
by_L,best_tested_T_over_K,tail_mass_p99,-0.1805318236692722,0.1805318236692722,5600,,4.0,
by_L,best_tested_T_over_K,row_power_skew3,-0.17707565233776723,0.17707565233776723,5600,,6.0,
by_L,best_tested_T_over_K,log_power_gap_max,-0.1761984537328944,0.1761984537328944,5600,,10.0,
by_L,best_tested_T_over_K,row_power_skew3,-0.17349046198200052,0.17349046198200052,5600,,8.0,
by_L,best_tested_T_over_K,row_power_p99_p50,-0.17313344215941875,0.17313344215941875,5600,,4.0,
by_L,best_tested_T_over_K,log_power_gap_max,-0.17297271525540905,0.17297271525540905,5600,,8.0,
by_L,best_tested_T_over_K,tail_mass_p80,-0.17221291220399126,0.17221291220399126,5600,,2.0,
by_L,best_tested_T_over_K,row_power_max_p95,-0.15782254905187032,0.15782254905187032,5600,,10.0,
by_L,best_tested_T_over_K,tail_mass_p90,-0.15686972727944595,0.15686972727944595,5600,,2.0,
by_L,best_tested_T_over_K,row_power_max_p95,-0.15498914948384615,0.15498914948384615,5600,,6.0,
by_L,best_tested_T_over_K,row_power_p95_p50,-0.15136950581000283,0.15136950581000283,5600,,2.0,
by_L,best_tested_T_over_K,row_power_skew3,-0.1506167425603088,0.1506167425603088,5600,,4.0,
