data_profile,N,L,K,off_pct,active_pct,cases,T_min,T_max,T_mean,outside_dense_rate,u_g_mean,u_g_p05,u_g_p50,u_g_p95,fraction_mean,fraction_p05,fraction_p50,fraction_p95,gap_pct_mean,winner_rate
gaussian,500,2,125,75.0,25.0,100,188,188,188.0,1.0,352403.8050919889,188131.9898431512,335806.5247652719,529133.7836412002,0.3235286160474032,0.2567061537887397,0.3220175842785074,0.3893537670189406,67.64713839525967,0.0
gaussian,500,2,250,50.0,50.0,100,125,125,125.0,0.0,3807065.617631486,2078268.5757547268,3659312.029828471,5619833.090984292,0.5479297417875639,0.4668706729398383,0.5484006045097692,0.6398975354622018,45.207025821243604,0.0
gaussian,500,4,125,75.0,25.0,100,188,188,188.0,1.0,3422674945.3688793,1379829519.2713022,3139798921.7509384,6199837856.353411,0.21894016430249885,0.16316446235699023,0.2185084108618651,0.27715980817244956,78.10598356975011,0.0
gaussian,500,4,250,50.0,50.0,100,125,125,125.0,0.0,501507150122.5856,192818218523.0379,461340175679.9984,950592774154.2623,0.4714265560571507,0.3763014776455218,0.46978185731795746,0.5550431063283525,52.85734439428493,0.0
gaussian,500,6,125,75.0,25.0,100,188,188,188.0,1.0,5691208396076.492,1953029762119.578,5197005065346.729,11416709251460.133,0.1680061220517328,0.11417808009405006,0.16871107946455025,0.2279712773898507,83.19938779482672,0.0
gaussian,500,6,250,50.0,50.0,100,125,125,125.0,0.0,1.2286135889554222e+16,4095244133717853.5,1.092088274221704e+16,2.6252129646157704e+16,0.42396009033888554,0.32953537837248037,0.41845121431847904,0.5354661016239501,57.60399096611144,0.0
gaussian,500,8,125,75.0,25.0,100,188,188,188.0,1.0,3086052124872849.5,594087908098460.8,2664839999295031.5,8474785770253680.0,0.13085719049628838,0.08309871811513328,0.12496878129794825,0.18709378331771043,86.91428095037116,0.0
gaussian,500,8,250,50.0,50.0,100,125,125,125.0,0.0,9.808404837994345e+19,2.066870600781682e+19,8.428921689759154e+19,2.4559811983187008e+20,0.3820568210304886,0.2561926940572196,0.37987859295375814,0.5305859978467747,61.79431789695114,0.0
gaussian,500,10,125,75.0,25.0,100,188,188,188.0,1.0,5.7086498302545286e+17,9.144905177153968e+16,4.159905415910282e+17,1.552975491677646e+18,0.10833298555391557,0.06764924328966017,0.10417324169098485,0.15522936472685653,89.16670144460845,0.0
gaussian,500,10,250,50.0,50.0,100,125,125,125.0,0.0,2.7879134304795902e+23,4.4211993219573595e+22,2.134336723526085e+23,7.611611359756321e+23,0.35360423717980616,0.25498495036351554,0.3482760747695713,0.493220348637215,64.63957628201938,0.0
gaussian,1000,2,250,75.0,25.0,100,375,375,375.0,1.0,4850628.939458171,2868859.336113632,4812869.62868602,6657886.121380038,0.33206442009340814,0.29409233215688485,0.3307458695718508,0.3837869128682968,66.79355799065918,0.0
gaussian,1000,2,500,50.0,50.0,100,250,250,250.0,0.0,52416249.01301493,31855892.719718628,50587381.983836174,72333000.88921927,0.561975561645914,0.5069491883152807,0.5605531889237689,0.6343508104736,43.8024438354086,0.0
gaussian,1000,4,250,75.0,25.0,100,375,375,375.0,1.0,679879109679.1312,358378639173.7538,644969132446.488,1151435377053.0125,0.22732957002745313,0.18425200015686038,0.2290475745686742,0.2713698474255481,77.26704299725469,0.0
gaussian,1000,4,500,50.0,50.0,100,250,250,250.0,0.0,98166099725327.02,52562679775852.66,95182240108179.61,163462497208062.28,0.4842119221589734,0.41878830043411047,0.48335994079800426,0.5795620666474605,51.57880778410266,0.0
gaussian,1000,6,250,75.0,25.0,100,375,375,375.0,1.0,1.9275582264740784e+16,6563800479327229.0,1.6627958073051268e+16,4.175027807487892e+16,0.1711002907289353,0.1312845583526558,0.16889588149264917,0.2112284150062427,82.88997092710648,0.0
gaussian,1000,6,500,50.0,50.0,100,250,250,250.0,0.0,3.914267306412926e+19,1.3397279353381632e+19,3.4074677555137032e+19,8.426245282452193e+19,0.43044349340356597,0.34963765491169446,0.42658234885330937,0.5206710479768,56.9556506596434,0.0
gaussian,1000,8,250,75.0,25.0,100,375,375,375.0,1.0,1.5220107111222152e+20,3.761494691163059e+19,1.46356401823211e+20,3.3570827477282606e+20,0.1339336510144803,0.09999700157482107,0.1338382987762345,0.17165209020243588,86.60663489855196,0.0
gaussian,1000,8,500,50.0,50.0,100,250,250,250.0,0.0,4.467375033676821e+24,1.1013771203874289e+24,4.2438677338002596e+24,9.435726774751068e+24,0.3918210597535636,0.32124778556776556,0.38985097061741447,0.47092121650164687,60.81789402464363,0.0
gaussian,1000,10,250,75.0,25.0,100,375,375,375.0,1.0,5.600713330133666e+23,8.563973931632552e+22,4.535749294546816e+23,1.4229145518811382e+24,0.10805151397098077,0.08102480890942886,0.109554634540835,0.14199164693532607,89.19484860290191,0.0
gaussian,1000,10,500,50.0,50.0,100,250,250,250.0,0.0,2.5207512111864475e+29,3.992657775928414e+28,1.9395648770042574e+29,6.14192518228055e+29,0.3532225266743723,0.2755043616464806,0.34897831803012347,0.4446725403148094,64.67774733256277,0.0
gaussian,2000,2,500,75.0,25.0,100,750,750,750.0,1.0,64096882.27550233,37242212.35590027,64842131.72581203,85885508.59419824,0.337411392523249,0.3059413443796577,0.33560897720560134,0.3743053313049642,66.2588607476751,0.0
gaussian,2000,2,1000,50.0,50.0,100,500,500,500.0,0.0,690651000.6469275,415717961.1748094,691946829.6373998,908924166.6976932,0.5712175352754779,0.5253766316615187,0.5705957802365552,0.6112964604168769,42.87824647245221,0.0
gaussian,2000,4,500,75.0,25.0,100,750,750,750.0,1.0,145749185218063.38,84608478233173.61,141792465884071.62,220031877651387.12,0.23296805340876417,0.2020813182953725,0.23311453249227254,0.2634342799502129,76.70319465912357,0.0
gaussian,2000,4,1000,50.0,50.0,100,500,500,500.0,0.0,2.078301864280108e+16,1.2041614888430474e+16,2.022632287137368e+16,3.2360596945476724e+16,0.49268976011661336,0.4426482294931196,0.4927206050808559,0.5423986958432544,50.73102398833866,0.0
gaussian,2000,6,500,75.0,25.0,100,750,750,750.0,1.0,5.6580960478379426e+19,2.0477309877084766e+19,4.9633498695671276e+19,1.1809040879686086e+20,0.1711501053752047,0.14204065068702237,0.16988906836178624,0.20561830591578165,82.88498946247954,0.0
gaussian,2000,6,1000,50.0,50.0,100,500,500,500.0,0.0,1.1131575795384871e+23,4.089226901371564e+22,9.545021696205164e+22,2.337178684060146e+23,0.43053470126202564,0.37147557973243583,0.4268812072824747,0.5054908609734112,56.94652987379744,0.0
gaussian,2000,8,500,75.0,25.0,100,750,750,750.0,1.0,6.711537925820426e+24,1.7696753808804868e+24,5.902868844134472e+24,1.4293396959976292e+25,0.13578198367580774,0.10995140335678291,0.13505050709298574,0.16383273472555612,86.42180163241923,0.0
gaussian,2000,8,1000,50.0,50.0,100,500,500,500.0,0.0,1.893510949911268e+29,4.691384793103217e+28,1.6476900533226562e+29,4.130202044439635e+29,0.39589758763831123,0.3320519268786766,0.39344752799967353,0.46040267641220517,60.41024123616888,0.0
gaussian,2000,10,500,75.0,25.0,100,750,750,750.0,1.0,3.7270835904537636e+29,6.466411198495382e+28,3.272267692819161e+29,7.958528720834153e+29,0.11044272730109606,0.08938640249648978,0.10936422277933415,0.1323434641949799,88.95572726989039,0.0
gaussian,2000,10,1000,50.0,50.0,100,500,500,500.0,0.0,1.5521323137657054e+35,2.6632976061378073e+34,1.3462176952011367e+35,3.2220077338897245e+35,0.36179202286973433,0.30989102543442754,0.3585622497189402,0.4357004896014053,63.82079771302656,0.0
gaussian,5000,2,1250,75.0,25.0,100,1875,1875,1875.0,1.0,2164892483.785365,1425560524.2026596,2168888213.438517,2839140325.264072,0.3405264210805643,0.3162091108698967,0.3416494150099368,0.36047284155610715,65.94735789194357,0.0
gaussian,5000,2,2500,50.0,50.0,100,1250,1250,1250.0,0.0,23309531110.58227,15317433458.613483,23357834593.25331,30960641485.453842,0.5758222401217099,0.549542660661751,0.576735425849199,0.6026356186641729,42.41777598782902,0.0
