data_profile,N,L,K,off_pct,active_pct,cases,best_T_min,best_T_p05,best_T_p25,best_T_median,best_T_p75,best_T_p95,best_T_max,best_T_mean,best_T_std,best_T_iqr,best_T_cv,best_T_over_N_mean,best_T_over_K_mean
gaussian,1000,10,250,75.0,25.0,100,18,23.85,36.0,48.0,60.0,76.05,108,49.06,17.70169198099151,24.0,0.3608172030369243,0.04906,0.19624
gaussian,1000,10,500,50.0,50.0,100,23,36.0,57.0,69.0,82.0,107.05,129,70.4,20.37526724122938,25.0,0.2894214096765536,0.0704,0.1408
lognormal,1000,10,250,75.0,25.0,100,9,24.8,32.0,41.0,49.25,65.05,94,41.73,14.536512718675068,17.25,0.3483468180847129,0.04173,0.16692
lognormal,1000,10,500,50.0,50.0,100,26,32.0,44.75,58.5,68.0,92.0,101,58.71,18.327158739825094,23.25,0.3121641754356174,0.05871,0.11742
nakagami,1000,10,250,75.0,25.0,100,22,29.85,39.75,51.0,65.0,83.1,92,52.78,16.897540314698727,25.25,0.3201504417335871,0.05278,0.21112
nakagami,1000,10,500,50.0,50.0,100,31,45.0,59.0,73.5,88.0,113.05,156,74.64,21.78105932810765,29.0,0.2918148355855794,0.07464,0.14928
rayleigh,1000,10,250,75.0,25.0,100,12,23.95,36.75,46.0,59.0,74.05,97,48.05,16.631098410611198,22.25,0.3461206745184432,0.0480499999999999,0.1921999999999999
rayleigh,1000,10,500,50.0,50.0,100,24,45.95,55.0,71.5,88.0,110.0,141,73.04,21.047286828194338,33.0,0.2881611011527154,0.07304,0.14608
rician,1000,10,250,75.0,25.0,100,28,37.95,91.0,138.5,185.5,246.0,250,140.84,63.643692507267325,94.5,0.4518864847150477,0.1408399999999999,0.5633599999999999
rician,1000,10,500,50.0,50.0,100,57,81.85,129.25,171.0,224.0,314.6,353,180.81,69.06221686262177,94.75,0.3819601618418327,0.18081,0.36162
thin_tail,1000,10,250,75.0,25.0,100,18,19.0,31.75,39.5,50.25,67.1,89,41.84,15.36210738910334,18.5,0.3671631785158541,0.0418399999999999,0.1673599999999999
thin_tail,1000,10,500,50.0,50.0,100,23,35.95,53.0,65.5,82.0,103.1,111,66.36,20.56353544259814,29.0,0.3098784726129919,0.0663599999999999,0.1327199999999999
twdp,1000,10,250,75.0,25.0,100,15,26.0,35.75,45.0,57.25,70.24999999999999,84,46.33,14.58521113451512,21.5,0.3148113778224718,0.04633,0.18532
twdp,1000,10,500,50.0,50.0,100,26,40.9,53.75,64.0,76.25,90.39999999999998,109,65.02,16.73620644174199,22.5,0.2574008988271608,0.06502,0.13004
gaussian,1000,2,250,75.0,25.0,100,10,18.0,29.75,36.0,45.25,68.05,92,38.29,15.34801339429684,15.5,0.4008360771558328,0.03829,0.15316
gaussian,1000,2,500,50.0,50.0,100,19,28.8,38.75,48.0,63.0,80.1,92,50.98,16.69632512642446,24.25,0.3275073583056975,0.05098,0.10196
